time,电网总电能,储能总电能,储能SOC(%),虚拟负载电能,计算储能功率,计算电网功率,计算负载功率
2026-02-25 21:01:00,306.25,134.437,63.2,440.687,200.4600000000005,300.0,500.4600000000005
2026-02-25 21:02:00,311.25,137.785,62.78,449.03499999999997,200.8799999999991,300.0,500.66999999999894
2026-02-25 21:03:00,316.25,141.142,62.36,457.392,201.41999999999996,300.0,500.91999999999985
2026-02-25 21:04:00,321.25,144.506,61.94,465.756,201.84000000000026,300.0,501.1499999999995
2026-02-25 21:05:00,326.25,147.878,61.52,474.128,202.31999999999914,300.0,501.38399999999984
2026-02-25 21:06:00,331.25,151.258,61.09,482.50800000000004,202.80000000000143,300.0,501.62000000000035
2026-02-25 21:07:00,336.25,154.645,60.67,490.895,203.22000000000003,300.0,501.84857142857123
2026-02-25 21:08:00,341.25,158.04,60.24,499.28999999999996,203.6999999999989,300.0,502.0799999999997
2026-02-25 21:09:00,346.25,161.443,59.82,507.693,204.1800000000012,300.0,502.3133333333332
2026-02-25 21:10:00,351.25,164.854,59.39,516.104,204.66000000000008,300.0,502.54800000000023
2026-02-25 21:11:00,356.25,168.27,58.97,524.52,204.9599999999998,300.0,502.7672727272726
2026-02-25 21:12:00,361.25,171.68,58.54,532.9300000000001,204.5999999999998,300.0,502.9200000000003
2026-02-25 21:13:00,366.25,175.085,58.11,541.335,204.30000000000007,300.0,503.026153846154
2026-02-25 21:14:00,371.25,178.486,57.69,549.736,204.05999999999892,300.0,503.09999999999997
2026-02-25 21:15:00,376.25,181.881,57.26,558.131,203.7000000000006,300.0,503.13999999999993
2026-02-25 21:16:00,381.25,185.272,56.84,566.5219999999999,203.45999999999947,300.0,503.15999999999974
2026-02-25 21:17:00,386.25,188.657,56.42,574.907,203.10000000000116,300.0,503.1564705882354
2026-02-25 21:18:00,391.25,192.037,56.0,583.287,202.79999999999973,300.0,503.1366666666668
2026-02-25 21:19:00,396.25,195.413,55.57,591.663,202.5600000000003,300.0,503.1063157894737
2026-02-25 21:20:00,401.25,198.783,55.15,600.033,202.19999999999857,300.0,503.06100000000004
2026-02-25 21:21:00,406.25,202.143,54.73,608.393,201.60000000000082,300.0,502.9914285714286
2026-02-25 21:22:00,411.25,205.477,54.32,616.727,200.0400000000002,300.0,502.8572727272727
2026-02-25 21:23:00,416.25,208.783,53.9,625.033,198.359999999999,300.0,502.66173913043485
2026-02-25 21:24:00,421.25,212.063,53.49,633.313,196.80000000000007,300.0,502.41749999999996
2026-02-25 21:25:00,426.25,215.317,53.09,641.567,195.24000000000115,300.0,502.1304
2026-02-25 21:26:00,431.25,218.543,52.68,649.793,193.55999999999995,300.0,501.8007692307692
2026-02-25 21:27:00,436.25,221.743,52.28,657.9929999999999,191.99999999999932,300.0,501.4377777777776
2026-02-25 21:28:00,441.25,224.917,51.89,666.167,190.4400000000004,300.0,501.0450000000001
2026-02-25 21:29:00,446.25,228.063,51.49,674.313,188.7599999999992,300.0,500.62137931034476
2026-02-25 21:30:00,451.25,231.183,51.1,682.433,187.20000000000027,300.0,487.2000000000003
2026-02-25 21:31:00,456.25,234.277,50.72,690.527,185.63999999999965,300.0,485.64000000000306
2026-02-25 21:32:00,461.25,237.343,50.33,698.593,183.96000000000015,300.0,484.79999999999905
2026-02-25 21:33:00,466.25,240.383,49.95,706.633,182.40000000000123,300.0,484.0000000000009
2026-02-25 21:34:00,471.25,243.397,49.58,714.6469999999999,180.8399999999989,300.0,483.2099999999991
2026-02-25 21:35:00,476.25,246.383,49.2,722.633,179.1600000000011,300.0,482.40000000000055
2026-02-25 21:36:00,481.25,249.341,48.83,730.591,177.4799999999999,300.0,481.58000000000015
2026-02-25 21:37:00,486.25,252.262,48.47,738.512,175.25999999999954,300.0,480.6771428571424
2026-02-25 21:38:00,491.25,255.146,48.11,746.396,173.03999999999917,300.0,479.72249999999974
2026-02-25 21:39:00,496.25,257.993,47.75,754.2429999999999,170.8200000000005,300.0,478.73333333333295
2026-02-25 21:40:00,501.25,260.804,47.4,762.054,168.65999999999872,300.0,477.72599999999983
2026-02-25 21:41:00,506.25,263.578,47.05,769.828,166.44000000000005,300.0,476.6999999999999
2026-02-25 21:42:00,511.25,266.316,46.71,777.566,164.27999999999997,300.0,475.6650000000002
2026-02-25 21:43:00,516.25,269.017,46.37,785.267,162.0600000000013,300.0,474.6184615384618
2026-02-25 21:44:00,521.25,271.681,46.04,792.931,159.83999999999924,300.0,473.56285714285735
2026-02-25 21:45:00,526.25,274.308,45.71,800.558,157.62000000000057,300.0,472.5
2026-02-25 21:46:00,531.25,276.899,45.39,808.149,155.4600000000005,300.0,471.43500000000006
2026-02-25 21:47:00,536.25,279.453,45.07,815.703,153.23999999999842,300.0,470.3647058823529
2026-02-25 21:48:00,541.25,281.971,44.75,823.221,151.08000000000175,300.0,469.29333333333335
2026-02-25 21:49:00,546.25,284.452,44.44,830.702,148.85999999999967,300.0,468.2178947368421
2026-02-25 21:50:00,551.25,286.896,44.14,838.146,146.640000000001,300.0,467.13899999999995
2026-02-25 21:51:00,556.25,289.301,43.84,845.5509999999999,144.29999999999836,300.0,466.0514285714284
2026-02-25 21:52:00,561.25,291.662,43.54,852.912,141.6599999999994,300.0,464.9427272727273
2026-02-25 21:53:00,566.25,293.979,43.25,860.229,139.02000000000044,300.0,463.8156521739131
2026-02-25 21:54:00,571.25,296.251,42.97,867.501,136.31999999999948,300.0,462.6699999999999
2026-02-25 21:55:00,576.25,298.479,42.69,874.729,133.68000000000052,300.0,461.51040000000006
2026-02-25 21:56:00,581.25,300.662,42.42,881.912,130.97999999999956,300.0,460.33615384615393
2026-02-25 21:57:00,586.25,302.801,42.15,889.0509999999999,128.3400000000006,300.0,459.151111111111
2026-02-25 21:58:00,591.25,304.896,41.89,896.146,125.70000000000164,300.0,457.95642857142855
2026-02-25 21:59:00,596.25,306.946,41.63,903.196,123.00000000000068,300.0,456.7510344827587
2026-02-25 22:00:00,601.25,308.951,41.38,910.201,120.29999999999973,300.0,420.2999999999997
2026-02-25 22:01:00,606.25,310.912,41.14,917.162,117.65999999999735,300.0,417.66000000000076
2026-02-25 22:02:00,611.25,312.829,40.9,924.079,115.0200000000018,300.0,416.3399999999979
2026-02-25 22:03:00,616.25,314.701,40.66,930.951,112.32000000000085,300.0,415.0
2026-02-25 22:04:00,621.25,316.529,40.43,937.779,109.67999999999847,300.0,413.6699999999996
2026-02-25 22:05:00,626.25,318.313,40.21,944.563,107.03999999999951,300.0,412.3439999999996
2026-02-25 22:06:00,631.25,320.052,39.99,951.302,104.34000000000196,300.0,411.01
2026-02-25 22:07:00,636.25,321.751,39.78,958.001,101.93999999999733,300.0,409.7142857142853
2026-02-25 22:08:00,641.25,323.408,39.57,964.658,99.42000000000235,300.0,408.42749999999995
2026-02-25 22:09:00,646.25,325.025,39.37,971.275,97.01999999999771,300.0,407.1599999999997
2026-02-25 22:10:00,651.25,326.6,39.17,977.85,94.50000000000273,300.0,405.894
2026-02-25 22:11:00,656.25,328.134,38.98,984.384,92.03999999999951,300.0,404.6345454545454
2026-02-25 22:12:00,661.25,329.627,38.8,990.877,89.5799999999997,300.0,403.37999999999965
2026-02-25 22:13:00,666.25,331.079,38.62,997.329,87.11999999999989,300.0,402.12923076923045
2026-02-25 22:14:00,671.25,332.49,38.44,1003.74,84.66000000000008,300.0,400.8814285714285
2026-02-25 22:15:00,676.25,333.86,38.27,1010.11,82.20000000000027,300.0,399.6359999999999
2026-02-25 22:16:00,681.25,335.188,38.1,1016.438,79.67999999999847,300.0,398.38874999999985
2026-02-25 22:17:00,686.25,336.476,37.94,1022.726,77.28000000000065,300.0,397.1470588235293
2026-02-25 22:18:00,691.25,337.722,37.78,1028.972,74.75999999999885,300.0,395.9033333333332
2026-02-25 22:19:00,696.25,338.928,37.63,1035.1779999999999,72.36000000000104,300.0,394.66421052631534
2026-02-25 22:20:00,701.25,340.092,37.49,1041.342,69.83999999999924,300.0,393.42300000000023
2026-02-25 22:21:00,706.25,341.215,37.35,1047.465,67.37999999999943,300.0,392.1828571428568
2026-02-25 22:22:00,711.25,342.301,37.21,1053.551,65.16000000000076,300.0,390.9545454545452
2026-02-25 22:23:00,716.25,343.348,37.08,1059.598,62.82000000000153,300.0,389.7313043478259
2026-02-25 22:24:00,721.25,344.357,36.96,1065.607,60.54000000000087,300.0,388.5149999999999
2026-02-25 22:25:00,726.25,345.327,36.83,1071.577,58.19999999999823,300.0,387.3023999999999
2026-02-25 22:26:00,731.25,346.259,36.72,1077.509,55.92000000000098,300.0,386.0953846153846
2026-02-25 22:27:00,736.25,347.153,36.61,1083.403,53.64000000000033,300.0,384.8933333333333
2026-02-25 22:28:00,741.25,348.008,36.5,1089.258,51.29999999999768,300.0,383.6935714285715
2026-02-25 22:29:00,746.25,348.825,36.4,1095.075,49.02000000000044,300.0,382.49793103448286
2026-02-25 22:30:00,751.25,349.604,36.3,1100.854,46.73999999999978,300.0,346.7399999999998
