time,储能SOC(%)
2026-02-25 21:18:15,55.89
2026-02-25 21:18:30,55.78
2026-02-25 21:18:45,55.68
2026-02-25 21:19:00,55.57
2026-02-25 21:19:15,55.47
2026-02-25 21:19:30,55.36
2026-02-25 21:19:45,55.26
2026-02-25 21:20:00,55.15
2026-02-25 21:20:15,55.05
2026-02-25 21:20:30,54.94
2026-02-25 21:20:45,54.84
2026-02-25 21:21:00,54.73
2026-02-25 21:21:15,54.63
2026-02-25 21:21:30,54.52
2026-02-25 21:21:45,54.42
2026-02-25 21:22:00,54.32
2026-02-25 21:22:15,54.21
2026-02-25 21:22:30,54.11
2026-02-25 21:22:45,54.0
2026-02-25 21:23:00,53.9
2026-02-25 21:23:15,53.8
2026-02-25 21:23:30,53.7
2026-02-25 21:23:45,53.59
2026-02-25 21:24:00,53.49
2026-02-25 21:24:15,53.39
2026-02-25 21:24:30,53.29
2026-02-25 21:24:45,53.19
2026-02-25 21:25:00,53.09
2026-02-25 21:25:15,52.98
2026-02-25 21:25:30,52.88
2026-02-25 21:25:45,52.78
2026-02-25 21:26:00,52.68
2026-02-25 21:26:15,52.58
2026-02-25 21:26:30,52.48
2026-02-25 21:26:45,52.38
2026-02-25 21:27:00,52.28
2026-02-25 21:27:15,52.18
2026-02-25 21:27:30,52.08
2026-02-25 21:27:45,51.98
2026-02-25 21:28:00,51.89
2026-02-25 21:28:15,51.79
2026-02-25 21:28:30,51.69
2026-02-25 21:28:45,51.59
2026-02-25 21:29:00,51.49
2026-02-25 21:29:15,51.39
2026-02-25 21:29:30,51.3
2026-02-25 21:29:45,51.2
2026-02-25 21:30:00,51.1
2026-02-25 21:30:15,51.01
2026-02-25 21:30:30,50.91
2026-02-25 21:30:45,50.81
2026-02-25 21:31:00,50.72
2026-02-25 21:31:15,50.62
2026-02-25 21:31:30,50.52
2026-02-25 21:31:45,50.43
2026-02-25 21:32:00,50.33
2026-02-25 21:32:15,50.24
2026-02-25 21:32:30,50.14
2026-02-25 21:32:45,50.05
2026-02-25 21:33:00,49.95
2026-02-25 21:33:15,49.86
2026-02-25 21:33:30,49.76
2026-02-25 21:33:45,49.67
2026-02-25 21:34:00,49.58
2026-02-25 21:34:15,49.48
2026-02-25 21:34:30,49.39
2026-02-25 21:34:45,49.29
2026-02-25 21:35:00,49.2
2026-02-25 21:35:15,49.11
2026-02-25 21:35:30,49.02
2026-02-25 21:35:45,48.92
2026-02-25 21:36:00,48.83
2026-02-25 21:36:15,48.74
2026-02-25 21:36:30,48.65
2026-02-25 21:36:45,48.56
2026-02-25 21:37:00,48.47
2026-02-25 21:37:15,48.38
2026-02-25 21:37:30,48.29
2026-02-25 21:37:45,48.2
2026-02-25 21:38:00,48.11
2026-02-25 21:38:15,48.02
2026-02-25 21:38:30,47.93
2026-02-25 21:38:45,47.84
2026-02-25 21:39:00,47.75
2026-02-25 21:39:15,47.66
2026-02-25 21:39:30,47.57
2026-02-25 21:39:45,47.49
2026-02-25 21:40:00,47.4
2026-02-25 21:40:15,47.31
2026-02-25 21:40:30,47.23
2026-02-25 21:40:45,47.14
2026-02-25 21:41:00,47.05
2026-02-25 21:41:15,46.97
2026-02-25 21:41:30,46.88
2026-02-25 21:41:45,46.8
2026-02-25 21:42:00,46.71
2026-02-25 21:42:15,46.63
2026-02-25 21:42:30,46.54
2026-02-25 21:42:45,46.46
2026-02-25 21:43:00,46.37
2026-02-25 21:43:15,46.29
2026-02-25 21:43:30,46.21
2026-02-25 21:43:45,46.12
2026-02-25 21:44:00,46.04
2026-02-25 21:44:15,45.96
2026-02-25 21:44:30,45.88
2026-02-25 21:44:45,45.79
2026-02-25 21:45:00,45.71
2026-02-25 21:45:15,45.63
2026-02-25 21:45:30,45.55
2026-02-25 21:45:45,45.47
2026-02-25 21:46:00,45.39
2026-02-25 21:46:15,45.31
2026-02-25 21:46:30,45.23
2026-02-25 21:46:45,45.15
2026-02-25 21:47:00,45.07
2026-02-25 21:47:15,44.99
2026-02-25 21:47:30,44.91
2026-02-25 21:47:45,44.83
2026-02-25 21:48:00,44.75
2026-02-25 21:48:15,44.68
2026-02-25 21:48:30,44.6
2026-02-25 21:48:45,44.52
2026-02-25 21:49:00,44.44
2026-02-25 21:49:15,44.37
2026-02-25 21:49:30,44.29
2026-02-25 21:49:45,44.21
2026-02-25 21:50:00,44.14
2026-02-25 21:50:15,44.06
2026-02-25 21:50:30,43.99
2026-02-25 21:50:45,43.91
2026-02-25 21:51:00,43.84
2026-02-25 21:51:15,43.76
2026-02-25 21:51:30,43.69
2026-02-25 21:51:45,43.61
2026-02-25 21:52:00,43.54
2026-02-25 21:52:15,43.47
2026-02-25 21:52:30,43.4
2026-02-25 21:52:45,43.32
2026-02-25 21:53:00,43.25
2026-02-25 21:53:15,43.18
2026-02-25 21:53:30,43.11
2026-02-25 21:53:45,43.04
2026-02-25 21:54:00,42.97
2026-02-25 21:54:15,42.9
2026-02-25 21:54:30,42.83
2026-02-25 21:54:45,42.76
2026-02-25 21:55:00,42.69
2026-02-25 21:55:15,42.62
2026-02-25 21:55:30,42.55
2026-02-25 21:55:45,42.48
2026-02-25 21:56:00,42.42
2026-02-25 21:56:15,42.35
2026-02-25 21:56:30,42.28
2026-02-25 21:56:45,42.22
2026-02-25 21:57:00,42.15
2026-02-25 21:57:15,42.08
2026-02-25 21:57:30,42.02
2026-02-25 21:57:45,41.95
2026-02-25 21:58:00,41.89
2026-02-25 21:58:15,41.82
2026-02-25 21:58:30,41.76
2026-02-25 21:58:45,41.69
2026-02-25 21:59:00,41.63
2026-02-25 21:59:15,41.57
2026-02-25 21:59:30,41.51
2026-02-25 21:59:45,41.44
2026-02-25 22:00:00,41.38
2026-02-25 22:00:15,41.32
2026-02-25 22:00:30,41.26
2026-02-25 22:00:45,41.2
2026-02-25 22:01:00,41.14
2026-02-25 22:01:15,41.08
2026-02-25 22:01:30,41.02
2026-02-25 22:01:45,40.96
2026-02-25 22:02:00,40.9
2026-02-25 22:02:15,40.84
2026-02-25 22:02:30,40.78
2026-02-25 22:02:45,40.72
2026-02-25 22:03:00,40.66
2026-02-25 22:03:15,40.6
2026-02-25 22:03:30,40.55
2026-02-25 22:03:45,40.49
2026-02-25 22:04:00,40.43
2026-02-25 22:04:15,40.38
2026-02-25 22:04:30,40.32
2026-02-25 22:04:45,40.27
2026-02-25 22:05:00,40.21
2026-02-25 22:05:15,40.16
2026-02-25 22:05:30,40.1
2026-02-25 22:05:45,40.05
2026-02-25 22:06:00,39.99
2026-02-25 22:06:15,39.94
2026-02-25 22:06:30,39.89
2026-02-25 22:06:45,39.83
2026-02-25 22:07:00,39.78
2026-02-25 22:07:15,39.73
2026-02-25 22:07:30,39.68
2026-02-25 22:07:45,39.62
2026-02-25 22:08:00,39.57
2026-02-25 22:08:15,39.52
2026-02-25 22:08:30,39.47
2026-02-25 22:08:45,39.42
2026-02-25 22:09:00,39.37
2026-02-25 22:09:15,39.32
2026-02-25 22:09:30,39.27
2026-02-25 22:09:45,39.22
2026-02-25 22:10:00,39.17
2026-02-25 22:10:15,39.13
2026-02-25 22:10:30,39.08
2026-02-25 22:10:45,39.03
2026-02-25 22:11:00,38.98
2026-02-25 22:11:15,38.94
2026-02-25 22:11:30,38.89
2026-02-25 22:11:45,38.84
2026-02-25 22:12:00,38.8
2026-02-25 22:12:15,38.75
2026-02-25 22:12:30,38.71
2026-02-25 22:12:45,38.66
2026-02-25 22:13:00,38.62
2026-02-25 22:13:15,38.57
2026-02-25 22:13:30,38.53
2026-02-25 22:13:45,38.48
2026-02-25 22:14:00,38.44
2026-02-25 22:14:15,38.4
2026-02-25 22:14:30,38.35
2026-02-25 22:14:45,38.31
2026-02-25 22:15:00,38.27
2026-02-25 22:15:15,38.23
2026-02-25 22:15:30,38.18
2026-02-25 22:15:45,38.14
2026-02-25 22:16:00,38.1
2026-02-25 22:16:15,38.06
2026-02-25 22:16:30,38.02
2026-02-25 22:16:45,37.98
2026-02-25 22:17:00,37.94
2026-02-25 22:17:15,37.9
2026-02-25 22:17:30,37.86
2026-02-25 22:17:45,37.82
2026-02-25 22:18:00,37.78
2026-02-25 22:18:15,37.75
2026-02-25 22:18:30,37.71
2026-02-25 22:18:45,37.67
2026-02-25 22:19:00,37.63
2026-02-25 22:19:15,37.6
2026-02-25 22:19:30,37.56
2026-02-25 22:19:45,37.52
2026-02-25 22:20:00,37.49
2026-02-25 22:20:15,37.45
2026-02-25 22:20:30,37.42
2026-02-25 22:20:45,37.38
2026-02-25 22:21:00,37.35
2026-02-25 22:21:15,37.31
2026-02-25 22:21:30,37.28
2026-02-25 22:21:45,37.25
2026-02-25 22:22:00,37.21
2026-02-25 22:22:15,37.18
2026-02-25 22:22:30,37.15
2026-02-25 22:22:45,37.11
2026-02-25 22:23:00,37.08
2026-02-25 22:23:15,37.05
2026-02-25 22:23:30,37.02
2026-02-25 22:23:45,36.99
2026-02-25 22:24:00,36.96
2026-02-25 22:24:15,36.92
2026-02-25 22:24:30,36.89
2026-02-25 22:24:45,36.86
2026-02-25 22:25:00,36.83
2026-02-25 22:25:15,36.8
2026-02-25 22:25:30,36.78
2026-02-25 22:25:45,36.75
2026-02-25 22:26:00,36.72
2026-02-25 22:26:15,36.69
2026-02-25 22:26:30,36.66
2026-02-25 22:26:45,36.63
2026-02-25 22:27:00,36.61
2026-02-25 22:27:15,36.58
2026-02-25 22:27:30,36.55
2026-02-25 22:27:45,36.52
2026-02-25 22:28:00,36.5
2026-02-25 22:28:15,36.47
2026-02-25 22:28:30,36.45
2026-02-25 22:28:45,36.42
2026-02-25 22:29:00,36.4
2026-02-25 22:29:15,36.37
2026-02-25 22:29:30,36.35
2026-02-25 22:29:45,36.32
2026-02-25 22:30:00,36.3
